Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
88,Saturday 19th September 2020 16:35,https://sullygnome.com/channel/tubbo/stream/653307058,144,18096,19293,4199,1679,38496,13120,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
89,Friday 18th September 2020 17:20,https://sullygnome.com/channel/tubbo/stream/642166450,114,15359,16605,3578,1789,39461,15382,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
90,Thursday 17th September 2020 19:19,https://sullygnome.com/channel/tubbo/stream/635709938,160,15482,25484,4824,1754,44714,13771,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
91,Wednesday 16th September 2020 17:55,https://sullygnome.com/channel/tubbo/stream/627161682,94,16525,20383,3284,1876,37425,16138,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
92,Sunday 13th September 2020 17:50,https://sullygnome.com/channel/tubbo/stream/603913458,205,14490,29937,7050,2014,76948,14358,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
93,Saturday 12th September 2020 18:39,https://sullygnome.com/channel/tubbo/stream/595001458,200,23597,43522,15506,4430,147779,37286,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
94,Friday 11th September 2020 18:01,https://sullygnome.com/channel/tubbo/stream/585073858,163,9410,14742,4672,1698,45208,15388,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
95,Thursday 10th September 2020 18:43,https://sullygnome.com/channel/tubbo/stream/577465058,91,15592,16466,2456,1637,29797,19864,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
96,Wednesday 9th September 2020 18:49,https://sullygnome.com/channel/tubbo/stream/569482450,160,15139,18943,3836,1394,46277,15676,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
97,Tuesday 8th September 2020 18:23,https://sullygnome.com/channel/tubbo/stream/560960706,141,9280,22351,5116,2046,40768,16307,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
98,Monday 7th September 2020 16:39,https://sullygnome.com/channel/tubbo/stream/551434130,80,14833,16766,1887,1258,21556,10870,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
99,Saturday 5th September 2020 17:34,https://sullygnome.com/channel/tubbo/stream/534226882,130,11826,15390,2658,1181,28697,11349,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
100,Friday 4th September 2020 18:15,https://sullygnome.com/channel/tubbo/stream/525053202,164,12034,14303,3105,1129,34840,10690,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
101,Thursday 3rd September 2020 17:24,https://sullygnome.com/channel/tubbo/stream/515815010,125,9424,17464,4070,1808,42039,15387,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
102,Wednesday 2nd September 2020 17:42,https://sullygnome.com/channel/tubbo/stream/507454946,137,11714,16109,3316,1326,29753,10967,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
103,Tuesday 1st September 2020 16:41,https://sullygnome.com/channel/tubbo/stream/497743122,153,13901,15822,4665,1696,39165,13318,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
104,Monday 31st August 2020 16:39,https://sullygnome.com/channel/tubbo/stream/488536802,320,5714,11744,6200,1127,39414,6745,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
105,Sunday 30th August 2020 16:07,https://sullygnome.com/channel/tubbo/stream/478969666,307,12402,27791,13018,2479,71919,12551,Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Fall Guys: Ultimate Knockout|Fall_Guys|https://static-cdn.jtvnw.net/ttv-boxart/./Fall%20Guys:%20Ultimate%20Knockout-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
