Unnamed: 0,Stream start time,Stream URL,Stream length,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
57,Monday 19th October 2020 01:49,https://sullygnome.com/channel/sykkuno/stream/40142450590,175,34885,45507,8479,2826,130238,36277,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
58,Sunday 18th October 2020 01:46,https://sullygnome.com/channel/sykkuno/stream/40128776222,328,34288,41150,14188,2579,206061,34275,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
59,Friday 16th October 2020 19:52,https://sullygnome.com/channel/sykkuno/stream/40109200798,337,31733,37264,15670,2725,202192,32462,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
60,Thursday 15th October 2020 20:53,https://sullygnome.com/channel/sykkuno/stream/40096912110,216,33001,43919,11449,3053,147918,36734,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
61,Wednesday 14th October 2020 23:39,https://sullygnome.com/channel/sykkuno/stream/40086734206,500,33363,40978,24368,2866,310523,35128,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
62,Tuesday 13th October 2020 01:12,https://sullygnome.com/channel/sykkuno/stream/40064865166,347,30060,37190,13853,2308,194461,30446,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
63,Sunday 11th October 2020 22:45,https://sullygnome.com/channel/sykkuno/stream/40050864462,449,31609,43541,19399,2586,248140,30990,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
64,Sunday 11th October 2020 00:52,https://sullygnome.com/channel/sykkuno/stream/40039289070,247,18476,24602,6173,1452,106405,22412,Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
65,Friday 9th October 2020 19:15,https://sullygnome.com/channel/sykkuno/stream/40020995454,269,22858,28987,11012,2447,124642,24852,Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
66,Thursday 8th October 2020 21:48,https://sullygnome.com/channel/sykkuno/stream/40009935470,161,10534,15286,2458,893,56008,16070,VALORANT|Valorant|https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100
