"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"33","Thursday 24th September 2020 19:02","https://sullygnome.com/channel/wilbursoot/stream/688803714","87","42409","48148","4889","3259","75127","33440","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Wednesday 23rd September 2020 18:58","https://sullygnome.com/channel/wilbursoot/stream/683547858","91","69928","89142","9993","5710","93809","37565","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Tuesday 22nd September 2020 18:41","https://sullygnome.com/channel/wilbursoot/stream/677939314","108","27877","33081","5019","2509","106845","37142","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Monday 21st September 2020 18:53","https://sullygnome.com/channel/wilbursoot/stream/671588562","186","24267","29970","7333","2256","92421","26400","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Sunday 20th September 2020 20:04","https://sullygnome.com/channel/wilbursoot/stream/665207842","85","24864","28305","3557","2371","32000","16190","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Saturday 19th September 2020 19:56","https://sullygnome.com/channel/wilbursoot/stream/655906418","78","13738","15474","3023","2015","28223","15227","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Friday 18th September 2020 19:38","https://sullygnome.com/channel/wilbursoot/stream/644166930","81","17725","19812","1572","1572","16987","9583","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Sunday 13th September 2020 18:50","https://sullygnome.com/channel/wilbursoot/stream/604695186","129","32120","33973","5787","2572","75220","26112","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Saturday 12th September 2020 20:46","https://sullygnome.com/channel/wilbursoot/stream/596471666","43","12544","13512","808","1077","20730","11062","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Saturday 12th September 2020 18:53","https://sullygnome.com/channel/wilbursoot/stream/595173026","96","14068","16692","5974","3413","70418","25307","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
